FIPS,Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
28047,GovAid,15457000,17048000,17208000,18056000,19185000,22589000,18776000,18741000,18633000,19972000,22608000,22096000,23840000,24354000
28049,GovAid,20324000,22177000,22133000,23267000,24273000,28183000,26846000,25799000,24922000,26330000,29474000,28573000,30412000,30319000
28051,GovAid,1766000,1895000,1874000,1927000,1987000,2293000,2153000,2065000,2015000,2100000,2297000,2167000,2282000,2293000
28053,GovAid,931000,1009000,973000,1001000,1026000,1166000,1089000,1037000,1011000,1051000,1147000,1099000,1156000,1129000
28055,GovAid,169000,178000,166000,166000,157000,172000,151000,136000,131000,133000,142000,137000,139000,145000
28057,GovAid,1868000,2048000,2046000,2161000,2246000,2634000,2487000,2419000,2369000,2493000,2787000,2659000,2833000,2885000
28059,GovAid,10998000,12157000,12227000,12922000,13655000,16069000,14624000,14560000,14360000,15346000,17126000,16483000,17544000,17731000
28061,GovAid,1517000,1677000,1663000,1727000,1785000,2049000,1943000,1883000,1838000,1922000,2098000,1995000,2085000,2094000
28063,GovAid,763000,820000,807000,819000,835000,941000,866000,829000,789000,827000,908000,858000,918000,936000
28065,GovAid,1163000,1256000,1236000,1282000,1298000,1504000,1430000,1368000,1318000,1384000,1531000,1435000,1514000,1526000
28067,GovAid,5350000,5847000,5860000,6160000,6438000,7560000,7201000,7031000,6897000,7308000,8179000,7862000,8429000,8528000
28069,GovAid,849000,932000,930000,980000,1016000,1172000,1109000,1070000,1031000,1092000,1206000,1128000,1201000,1180000
28071,GovAid,2869000,3195000,3245000,3513000,3747000,4491000,4386000,4345000,4333000,4641000,5272000,5167000,5613000,5807000
28073,GovAid,3356000,3766000,3885000,4187000,4514000,5457000,5406000,5472000,5519000,5996000,6906000,6781000,7315000,7524000
28075,GovAid,6320000,6888000,6930000,7285000,7576000,8816000,8332000,8135000,7968000,8502000,9476000,9121000,9651000,9714000
28077,GovAid,1109000,1220000,1212000,1280000,1326000,1539000,1452000,1409000,1370000,1452000,1600000,1514000,1604000,1588000
28079,GovAid,1706000,1898000,1918000,2027000,2137000,2507000,2394000,2346000,2288000,2441000,2714000,2571000,2716000,2663000
28081,GovAid,6301000,6971000,7002000,7435000,7773000,9125000,8761000,8603000,8466000,9058000,10140000,9872000,10600000,10627000
28083,GovAid,2945000,3153000,3084000,3184000,3261000,3735000,3494000,3356000,3253000,3361000,3728000,3534000,3742000,3783000
28085,GovAid,2750000,3016000,3030000,3192000,3324000,3902000,3745000,3650000,3583000,3802000,4237000,4065000,4322000,4380000
28087,GovAid,5040000,5486000,5455000,5686000,5888000,6807000,6457000,6273000,6086000,6492000,7248000,6929000,7377000,7487000
28089,GovAid,6177000,6914000,7059000,7609000,8138000,9787000,9594000,9568000,9529000,10276000,11623000,11319000,12182000,12563000
28091,GovAid,2090000,2281000,2282000,2414000,2520000,2946000,2845000,2798000,2748000,2927000,3260000,3093000,3242000,3234000
28093,GovAid,2817000,3111000,3126000,3317000,3441000,4042000,3857000,3803000,3743000,3951000,4378000,4154000,4394000,4363000
28095,GovAid,3176000,3486000,3458000,3633000,3772000,4368000,4132000,3997000,3900000,4102000,4528000,4309000,4559000,4524000
28097,GovAid,1012000,1104000,1086000,1123000,1152000,1339000,1265000,1210000,1154000,1207000,1339000,1269000,1329000,1342000
28099,GovAid,2375000,2580000,2592000,2757000,2900000,3406000,3226000,3135000,3068000,3262000,3631000,3493000,3712000,3721000
28101,GovAid,1783000,1950000,1933000,2034000,2118000,2478000,2362000,2308000,2237000,2358000,2611000,2487000,2653000,2693000
28103,GovAid,1045000,1137000,1126000,1169000,1202000,1390000,1305000,1267000,1227000,1277000,1403000,1323000,1390000,1390000
28105,GovAid,3276000,3604000,3609000,3839000,4024000,4748000,4596000,4554000,4449000,4788000,5376000,5183000,5592000,5726000
28107,GovAid,2858000,3139000,3165000,3334000,3469000,4041000,3828000,3727000,3641000,3833000,4256000,4066000,4320000,4321000
28109,GovAid,4043000,4474000,4527000,4788000,5038000,5919000,6030000,5927000,5809000,6123000,6765000,6465000,6820000,6856000
28111,GovAid,1018000,1117000,1125000,1184000,1227000,1413000,1338000,1322000,1287000,1347000,1503000,1434000,1506000,1507000
28113,GovAid,3225000,3516000,3516000,3686000,3834000,4490000,4392000,4249000,4153000,4393000,4906000,4708000,4965000,5035000
28115,GovAid,2251000,2500000,2515000,2701000,2829000,3338000,3218000,3141000,3078000,3289000,3695000,3515000,3806000,3839000
28117,GovAid,2093000,2287000,2285000,2418000,2511000,2923000,2754000,2651000,2591000,2748000,3020000,2911000,3107000,3140000
28119,GovAid,839000,910000,897000,917000,945000,1072000,986000,925000,879000,909000,991000,939000,967000,952000
28121,GovAid,9405000,10516000,10717000,11549000,12329000,14719000,14320000,14175000,14046000,15032000,16913000,16452000,17714000,18078000
28123,GovAid,2373000,2598000,2564000,2714000,2818000,3285000,3114000,3023000,2933000,3103000,3484000,3346000,3558000,3586000
28125,GovAid,542000,575000,565000,580000,582000,662000,603000,556000,537000,554000,592000,567000,591000,569000
28127,GovAid,2255000,2454000,2472000,2587000,2687000,3165000,3000000,2898000,2843000,2989000,3333000,3184000,3391000,3409000
28129,GovAid,1357000,1490000,1482000,1557000,1622000,1915000,1821000,1772000,1710000,1828000,2033000,1954000,2055000,1992000
28131,GovAid,1096000,1226000,1230000,1309000,1378000,1655000,1650000,1645000,1657000,1797000,2059000,1966000,2103000,2115000
28133,GovAid,2442000,2623000,2574000,2643000,2703000,3096000,2901000,2805000,2684000,2779000,3073000,2928000,3078000,3069000
28135,GovAid,1248000,1353000,1337000,1393000,1433000,1654000,1530000,1455000,1389000,1449000,1600000,1534000,1592000,1563000
28137,GovAid,2057000,2270000,2285000,2439000,2569000,3031000,2927000,2874000,2839000,3032000,3436000,3266000,3450000,3442000
28139,GovAid,1738000,1913000,1924000,2031000,2121000,2506000,2388000,2337000,2283000,2435000,2714000,2588000,2739000,2772000
28141,GovAid,1596000,1740000,1752000,1834000,1912000,2237000,2135000,2090000,2028000,2147000,2398000,2302000,2447000,2438000
28143,GovAid,772000,863000,902000,978000,1025000,1217000,1184000,1164000,1136000,1197000,1321000,1247000,1307000,1335000
28145,GovAid,2134000,2356000,2362000,2508000,2617000,3102000,2953000,2858000,2806000,2983000,3329000,3214000,3426000,3468000
28147,GovAid,1263000,1387000,1376000,1454000,1515000,1762000,1724000,1665000,1630000,1713000,1892000,1815000,1892000,1864000
28149,GovAid,4143000,4514000,4501000,4715000,4915000,5693000,5454000,5264000,5046000,5346000,5989000,5687000,6037000,6088000
28151,GovAid,5224000,5598000,5452000,5592000,5682000,6512000,5984000,5678000,5437000,5678000,6266000,5939000,6235000,6314000
28153,GovAid,1787000,1955000,1957000,2044000,2118000,2461000,2337000,2286000,2192000,2295000,2558000,2437000,2592000,2576000
28155,GovAid,854000,935000,934000,967000,1006000,1165000,1108000,1077000,1066000,1124000,1265000,1205000,1269000,1273000
28157,GovAid,785000,855000,852000,888000,910000,1053000,1017000,968000,935000,982000,1078000,1012000,1058000,1062000
28159,GovAid,1657000,1811000,1797000,1882000,1948000,2255000,2123000,2070000,1989000,2094000,2329000,2218000,2343000,2330000
28161,GovAid,1102000,1222000,1211000,1268000,1302000,1518000,1430000,1395000,1337000,1410000,1546000,1472000,1549000,1578000
28163,GovAid,2178000,2344000,2337000,2471000,2555000,2945000,2774000,2682000,2591000,2695000,2978000,2848000,3020000,3008000
